0	11.99		0.00999167	
0.01	11.9602		0.0398169	
0.02	11.911		0.0889787	
0.03	11.8434		0.156591	
0.04	11.7586		0.241396	
0.05	11.6582		0.341784	
0.06	11.5442		0.455826	
0.07	11.4187		0.581313	
0.08	11.2842		0.715793	
0.09	11.1434		0.856624	
0.1	10.999		1.00102	
0.11	10.8539		1.14613	
0.12	10.711		1.28903	
0.13	10.5731		1.42688	
0.14	10.4431		1.55688	
0.15	10.3236		1.6764	
0.16	10.217		1.78301	
0.17	10.1255		1.87449	
0.18	10.051		1.94897	
0.19	9.99515		2.00485	
0.2	9.95908		2.04092	
0.21	9.94362		2.05638	
0.22	9.94919		2.05081	
0.23	9.97579		2.02421	
0.24	10.023		1.977	
0.25	10.09		1.91004	
0.26	10.1754		1.82456	
0.27	10.2778		1.72218	
0.28	10.3952		1.60485	
0.29	10.5252		1.47485	
0.3	10.6653		1.33471	
0.31	10.8128		1.18718	
0.32	10.9648		1.03517	
0.33	11.1183		0.881703	
0.34	11.2702		0.729832	
0.35	11.4174		0.582601	
0.36	11.557		0.442975	
0.37	11.6862		0.313783	
0.38	11.8023		0.197659	
0.39	11.903		0.0969877	
0.4	11.9861		0.0138587	
0.41	12.05		-0.0499793	
0.42	12.0932		-0.0931541	
0.43	12.1147		-0.1147	
0.44	12.1141		-0.114078	
0.45	12.0912		-0.0911895	
0.46	12.0464		-0.0463815	
0.47	11.9804		0.0195606	
0.48	11.8946		0.105425	
0.49	11.7904		0.209594	
0.5	11.6699		0.330079	
0.51	11.5354		0.464553	
0.52	11.3896		0.610398	
0.53	11.2352		0.764758	
0.54	11.0754		0.92459	
0.55	10.9133		1.08673	
0.56	10.7521		1.24794	
0.57	10.595		1.40501	
0.58	10.4452		1.55476	
0.59	10.3058		1.69418	
0.6	10.1796		1.82042	
0.61	10.0691		1.9309	
0.62	9.97667		2.02333	
0.63	9.90423		2.09577	
0.64	9.85332		2.14668	
0.65	9.82508		2.17492	
0.66	9.82017		2.17983	
0.67	9.83882		2.16118	
0.68	9.88076		2.11924	
0.69	9.94528		2.05472	
0.7	10.0312		1.96881	
0.71	10.1369		1.8631	
0.72	10.2604		1.73962	
0.73	10.3993		1.60074	
0.74	10.5508		1.44916	
0.75	10.7121		1.28785	
0.76	10.88		1.11998	
0.77	11.0511		0.948876	
0.78	11.2221		0.777938	
0.79	11.3894		0.610584	
0.8	11.5498		0.450175	
0.81	11.7		0.299952	
0.82	11.837		0.162968	
0.83	11.958		0.0420259	
0.84	12.0604		-0.0603766	
0.85	12.1421		-0.142101	
0.86	12.2014		-0.20141	
0.87	12.237		-0.237008	
0.88	12.2481		-0.248064	
0.89	12.2342		-0.234235	
0.9	12.1957		-0.195673	
0.91	12.133		-0.133024	
0.92	12.0474		-0.0474212	
0.93	11.9405		0.0595404	
0.94	11.8142		0.18583	
0.95	11.671		0.32902	
0.96	11.5137		0.486334	
0.97	11.3453		0.654699	
0.98	11.1692		0.830805	
0.99	10.9888		1.01117	
1	10.8078		1.19222	
1.01	10.6297		1.37032	
1.02	10.4581		1.54192	
1.03	10.2965		1.70355	
1.04	10.1481		1.85192	
1.05	10.016		1.98401	
1.06	9.9029		2.0971	
1.07	9.81117		2.18883	
1.08	9.74274		2.25726	
1.09	9.6991		2.3009	
1.1	9.68123		2.31877	
1.11	9.68962		2.31038	
1.12	9.72425		2.27575	
1.13	9.78453		2.21547	
1.14	9.86941		2.13059	
1.15	9.97731		2.02269	
1.16	10.1062		1.89382	
1.17	10.2536		1.74644	
1.18	10.4166		1.58341	
1.19	10.5921		1.40791	
1.2	10.7766		1.22338	
1.21	10.9665		1.03346	
1.22	11.1581		0.841924	
1.23	11.3474		0.652592	
1.24	11.5307		0.469256	
1.25	11.7044		0.295611	
1.26	11.8648		0.135174	
1.27	12.0088		-0.00878273	
1.28	12.1333		-0.1333	
1.29	12.2358		-0.235791	
1.3	12.3141		-0.3141	
1.31	12.3665		-0.36654	
1.32	12.3919		-0.391934	
1.33	12.3896		-0.389639	
1.34	12.3596		-0.359563	
1.35	12.3022		-0.302169	
1.36	12.2185		-0.218466	
1.37	12.11		-0.109995	
1.38	11.9788		0.0211979	
1.39	11.8274		0.172606	
1.4	11.6587		0.341305	
1.41	11.476		0.52401	
1.42	11.2829		0.717139	
1.43	11.0831		0.916886	
1.44	10.8807		1.11929	
1.45	10.6797		1.32032	
1.46	10.484		1.51596	
1.47	10.2977		1.70226	
1.48	10.1245		1.87546	
1.49	9.96797		2.03203	
1.5	9.83124		2.16876	
1.51	9.71718		2.28282	
1.52	9.62819		2.37181	
1.53	9.56617		2.43383	
1.54	9.53249		2.46751	
1.55	9.52796		2.47204	
1.56	9.55284		2.44716	
1.57	9.60675		2.39325	
1.58	9.68878		2.31122	
1.59	9.79741		2.20259	
1.6	9.93063		2.06937	
1.61	10.0859		1.91413	
1.62	10.2602		1.73984	
1.63	10.4501		1.54989	
1.64	10.652		1.34801	
1.65	10.8618		1.13816	
1.66	11.0755		0.924506	
1.67	11.2887		0.711292	
1.68	11.4972		0.502783	
1.69	11.6968		0.303167	
1.7	11.8835		0.11648	
1.71	12.0535		-0.0534851	
1.72	12.2032		-0.203247	
1.73	12.3297		-0.329712	
1.74	12.4302		-0.430236	
1.75	12.5027		-0.502682	
1.76	12.5455		-0.545462	
