0	11.99	
0.01	11.9601	
0.02	11.9107	
0.03	11.8421	
0.04	11.7552	
0.05	11.6507	
0.06	11.5297	
0.07	11.3934	
0.08	11.2432	
0.09	11.0806	
0.1	10.9072	
0.11	10.7247	
0.12	10.535	
0.13	10.3399	
0.14	10.1415	
0.15	9.9416	
0.16	9.74231	
0.17	9.5456	
0.18	9.35342	
0.19	9.16771	
0.2	8.99031	
0.21	8.823	
0.22	8.66745	
0.23	8.52522	
0.24	8.39772	
0.25	8.28623	
0.26	8.19186	
0.27	8.11556	
0.28	8.05809	
0.29	8.02002	
0.3	8.00173	
0.31	8.00341	
0.32	8.02504	
0.33	8.0664	
0.34	8.12709	
0.35	8.20648	
0.36	8.3038	
0.37	8.41806	
0.38	8.54813	
0.39	8.69271	
0.4	8.85035	
0.41	9.01947	
0.42	9.1984	
0.43	9.38533	
0.44	9.5784	
0.45	9.77569	
0.46	9.97521	
0.47	10.175	
0.48	10.373	
0.49	10.5673	
0.5	10.7559	
0.51	10.937	
0.52	11.1087	
0.53	11.2694	
0.54	11.4173	
0.55	11.5511	
0.56	11.6694	
0.57	11.771	
0.58	11.855	
0.59	11.9203	
0.6	11.9665	
0.61	11.9931	
0.62	11.9997	
0.63	11.9864	
0.64	11.9532	
0.65	11.9005	
0.66	11.8288	
0.67	11.7388	
0.68	11.6315	
0.69	11.5078	
0.7	11.3691	
0.71	11.2167	
0.72	11.0522	
0.73	10.8771	
0.74	10.6933	
0.75	10.5025	
0.76	10.3068	
0.77	10.1079	
0.78	9.90801	
0.79	9.70901	
0.8	9.51293	
0.81	9.3217	
0.82	9.13726	
0.83	8.96144	
0.84	8.79599	
0.85	8.64257	
0.86	8.50272	
0.87	8.37782	
0.88	8.26914	
0.89	8.17775	
0.9	8.10456	
0.91	8.05032	
0.92	8.01555	
0.93	8.00062	
0.94	8.00566	
0.95	8.03062	
0.96	8.07527	
0.97	8.13914	
0.98	8.22161	
0.99	8.32185	
1	8.43885	
1.01	8.57146	
1.02	8.71833	
1.03	8.87802	
1.04	9.04891	
1.05	9.22931	
1.06	9.4174	
1.07	9.61132	
1.08	9.80912	
1.09	10.0088	
1.1	10.2085	
1.11	10.406	
1.12	10.5995	
1.13	10.787	
1.14	10.9666	
1.15	11.1366	
1.16	11.2952	
1.17	11.4409	
1.18	11.5721	
1.19	11.6877	
1.2	11.7864	
1.21	11.8673	
1.22	11.9295	
1.23	11.9724	
1.24	11.9956	
1.25	11.9989	
1.26	11.9822	
1.27	11.9457	
1.28	11.8897	
1.29	11.8149	
1.3	11.7219	
1.31	11.6118	
1.32	11.4855	
1.33	11.3444	
1.34	11.1899	
1.35	11.0234	
1.36	10.8468	
1.37	10.6617	
1.38	10.4699	
1.39	10.2735	
1.4	10.0743	
1.41	9.87444	
1.42	9.67579	
1.43	9.48039	
1.44	9.29017	
1.45	9.10705	
1.46	8.93285	
1.47	8.76932	
1.48	8.61807	
1.49	8.48064	
1.5	8.35839	
1.51	8.25254	
1.52	8.16415	
1.53	8.0941	
1.54	8.0431	
1.55	8.01165	
1.56	8.00007	
1.57	8.00846	
1.58	8.03676	
1.59	8.08468	
1.6	8.15173	
1.61	8.23724	
1.62	8.34038	
1.63	8.46009	
1.64	8.59519	
1.65	8.74432	
1.66	8.90601	
1.67	9.07862	
1.68	9.26044	
1.69	9.44965	
1.7	9.64435	
1.71	9.84262	
1.72	10.0424	
1.73	10.2419	
1.74	10.4389	
1.75	10.6315	
1.76	10.8178	
1.77	10.9959	
1.78	11.1641	
1.79	11.3206	
1.8	11.464	
1.81	11.5927	
1.82	11.7055	
1.83	11.8013	
1.84	11.879	
1.85	11.938	
1.86	11.9777	
1.87	11.9975	
1.88	11.9975	
1.89	11.9774	
1.9	11.9376	
1.91	11.8784	
1.92	11.8005	
1.93	11.7046	
1.94	11.5916	
1.95	11.4628	
1.96	11.3193	
1.97	11.1627	
1.98	10.9944	
1.99	10.8162	
2	10.6298	
2.01	10.4372	
2.02	10.2402	
2.03	10.0407	
2.04	9.84091	
2.05	9.64267	
2.06	9.448	
2.07	9.25885	
2.08	9.0771	
2.09	8.90457	
2.1	8.74299	
2.11	8.59397	
2.12	8.459	
2.13	8.33942	
2.14	8.23644	
2.15	8.15107	
2.16	8.08418	
2.17	8.03644	
2.18	8.00831	
2.19	8.00008	
2.2	8.01184	
2.21	8.04346	
2.22	8.09463	
2.23	8.16483	
2.24	8.25338	
2.25	8.35937	
2.26	8.48176	
2.27	8.61932	
2.28	8.77067	
2.29	8.9343	
2.3	9.10859	
2.31	9.29178	
2.32	9.48204	
2.33	9.67749	
2.34	9.87615	
2.35	10.0761	
2.36	10.2752	
2.37	10.4716	
2.38	10.6633	
2.39	10.8483	
2.4	11.0249	
2.41	11.1912	
2.42	11.3457	
2.43	11.4867	
2.44	11.6128	
2.45	11.7228	
2.46	11.8156	
2.47	11.8903	
2.48	11.9461	
2.49	11.9824	
2.5	11.9989	
2.51	11.9955	
2.52	11.9721	
2.53	11.929	
2.54	11.8666	
2.55	11.7856	
2.56	11.6868	
2.57	11.5711	
2.58	11.4397	
2.59	11.2939	
2.6	11.1352	
2.61	10.9651	
2.62	10.7854	
2.63	10.5978	
2.64	10.4043	
2.65	10.2067	
2.66	10.0071	
2.67	9.80742	
2.68	9.60964	
2.69	9.41577	
2.7	9.22773	
2.71	9.04741	
2.72	8.8766	
2.73	8.71702	
2.74	8.57026	
2.75	8.43779	
2.76	8.32092	
2.77	8.22083	
2.78	8.13852	
2.79	8.0748	
2.8	8.03033	
2.81	8.00553	
